Consumidor;NBO 1;NBO 2;NBO 3;NBO 4;NBO 5;Score NBO 1;Score NBO 2;Score NBO 3;Score NBO 4;Score NBO 5
205;9;30;38;61;75;0,540;0,870;0,650;0,750;0,640
206;20;31;39;63;77;0,530;0,890;0,790;0,510;0,580
207;2;23;39;54;75;0,830;0,880;0,660;0,670;0,870
208;10;28;43;52;70;0,640;0,920;0,580;0,810;0,610
209;19;33;39;53;76;0,570;0,640;0,980;0,670;0,970
210;20;22;46;65;68;0,760;0,520;0,800;0,930;0,930
211;12;23;35;52;70;0,980;0,850;0,780;0,860;0,530
212;20;22;36;56;77;0,750;0,940;0,590;0,570;0,700
213;10;28;40;59;80;0,840;0,530;0,940;0,810;0,800
214;1;28;45;66;67;0,580;0,850;0,640;0,820;0,810
215;9;28;47;61;68;0,690;0,520;0,640;0,800;0,940
216;8;24;37;64;69;0,720;0,840;0,870;0,780;0,810
217;2;25;49;62;76;0,660;0,730;0,580;0,570;0,870
218;11;22;35;54;74;0,840;0,690;0,650;0,980;0,720
219;16;32;37;51;70;0,890;0,630;0,860;0,740;0,650
220;20;25;36;59;77;0,880;0,900;0,640;0,670;0,610
221;2;25;41;54;68;0,670;0,530;0,550;0,900;0,810
222;13;24;50;52;68;0,670;0,960;0,550;0,540;0,970
223;15;30;37;55;74;0,920;0,880;0,760;0,730;0,750
224;2;31;36;61;68;0,560;0,920;0,880;0,510;0,670
225;14;26;48;54;74;0,560;0,600;0,970;0,560;0,710
226;12;25;43;66;70;0,980;0,960;0,590;0,860;0,820
227;3;26;44;62;75;0,800;0,920;0,690;0,670;0,960
228;12;29;38;51;74;0,750;0,560;0,950;0,720;0,720
229;12;23;48;64;74;0,970;0,610;0,610;0,660;0,870
230;9;33;49;61;70;0,630;0,950;0,520;0,920;0,520
231;15;24;39;66;74;0,750;0,620;0,930;0,610;0,610
232;16;29;44;62;75;0,790;0,950;0,880;0,630;0,600
233;20;27;44;60;70;0,980;0,910;0,510;0,590;0,950
234;8;33;38;63;75;0,620;0,620;0,970;0,510;0,510
235;15;21;34;58;79;0,520;0,650;0,630;0,830;0,730
236;15;30;47;58;68;0,870;0,690;0,870;0,830;0,560
237;12;26;46;65;67;0,890;0,520;0,880;0,560;0,550
238;17;32;39;63;69;0,880;0,810;0,910;0,790;0,510
239;6;25;39;61;72;0,900;0,860;0,880;0,730;0,780
240;10;29;46;62;69;0,700;0,960;0,570;0,560;0,960
241;19;31;44;52;79;0,560;0,530;0,660;0,550;0,740
242;10;21;47;59;79;0,810;0,820;0,950;0,820;0,940
243;6;27;44;66;80;0,530;0,670;0,950;0,650;0,870
244;12;33;45;57;67;0,660;0,680;0,600;0,660;0,600
245;5;33;50;65;78;0,940;0,960;0,970;0,790;0,580
246;4;24;48;66;79;0,620;0,640;0,950;0,730;0,980
247;6;31;39;59;67;0,570;0,560;0,920;0,900;0,810
248;16;22;46;61;77;0,680;0,810;0,980;0,880;0,630
249;9;24;46;61;71;0,660;0,520;0,720;0,610;0,720
250;13;24;49;54;75;0,510;0,760;0,680;0,810;0,630
251;7;31;49;65;72;0,660;0,740;0,800;0,880;0,640
252;4;27;45;59;72;0,950;0,550;0,650;0,940;0,810
253;3;31;38;58;78;0,690;0,620;0,570;0,650;0,710
254;17;26;45;58;69;0,870;0,920;0,740;0,530;0,950
255;13;24;38;51;75;0,760;0,770;0,630;0,690;0,940
256;6;32;37;56;79;0,710;0,930;0,530;0,740;0,700
257;5;25;45;63;74;0,650;0,830;0,690;0,870;0,550
258;4;26;48;53;69;0,570;0,720;0,820;0,670;0,740
259;3;26;50;64;73;0,510;0,820;0,790;0,900;0,550
260;11;27;37;66;72;0,560;0,830;0,840;0,730;0,710
261;2;29;46;55;70;0,670;0,710;0,590;0,710;0,860
262;13;29;50;64;72;0,910;0,880;0,810;0,930;0,660
263;9;27;49;60;74;0,770;0,850;0,850;0,830;0,930
264;2;31;49;63;79;0,890;0,840;0,510;0,620;0,930
265;4;31;45;56;75;0,620;0,870;0,800;0,840;0,800
266;19;28;40;55;80;0,870;0,510;0,750;0,720;0,570
267;6;33;50;57;77;0,820;0,890;0,570;0,860;0,620
268;15;28;48;53;77;0,690;0,950;0,870;0,670;0,910
269;11;32;42;65;73;0,850;0,640;0,780;0,680;0,660
270;13;28;48;52;67;0,710;0,770;0,590;0,750;0,800
271;12;27;46;52;67;0,970;0,890;0,580;0,930;0,920
272;11;29;48;58;80;0,730;0,510;0,630;0,640;0,830
273;19;25;42;58;72;0,590;0,820;0,510;0,970;0,950
274;4;31;37;52;76;0,780;0,520;0,770;0,810;0,950
275;17;21;34;66;73;0,730;0,840;0,870;0,630;0,610
276;1;32;34;57;75;0,830;0,810;0,800;0,910;0,520
277;5;27;46;54;74;0,780;0,960;0,710;0,970;0,630
278;19;32;41;65;75;0,640;0,750;0,970;0,740;0,960
279;2;30;47;58;73;0,740;0,920;0,610;0,910;0,670
280;7;31;48;61;77;0,900;0,740;0,770;0,710;0,570
281;13;25;41;64;74;0,650;0,650;0,830;0,880;0,850
282;12;30;39;54;75;0,750;0,980;0,770;0,520;0,770
283;3;30;41;58;71;0,810;0,640;0,720;0,580;0,560
284;3;28;50;52;79;0,570;0,800;0,840;0,740;0,930
285;19;32;47;54;80;0,880;0,860;0,550;0,910;0,760
286;11;32;36;55;79;0,640;0,570;0,800;0,930;0,650
287;6;29;44;62;68;0,680;0,580;0,740;0,620;0,570
288;20;29;47;52;76;0,870;0,960;0,650;0,760;0,950
289;12;30;44;54;75;0,560;0,560;0,850;0,600;0,910
290;6;29;34;63;78;0,850;0,570;0,890;0,720;0,540
291;4;29;42;64;73;0,870;0,520;0,770;0,560;0,700
292;1;28;46;58;75;0,920;0,790;0,810;0,950;0,920
293;18;31;44;66;75;0,780;0,960;0,920;0,630;0,790
294;13;31;36;52;80;0,890;0,940;0,720;0,890;0,520
295;11;24;48;58;77;0,740;0,860;0,860;0,790;0,970
296;15;32;41;56;74;0,840;0,710;0,970;0,970;0,590
297;10;32;47;60;79;0,810;0,700;0,770;0,860;0,860
298;3;32;45;63;68;0,710;0,600;0,780;0,730;0,630
299;5;24;42;58;76;0,520;0,780;0,820;0,620;0,940
300;12;33;37;65;73;0,780;0,820;0,960;0,920;0,730
301;16;23;43;61;67;0,980;0,940;0,810;0,690;0,690
302;17;27;46;56;72;0,960;0,560;0,830;0,700;0,820
303;9;22;34;54;75;0,880;0,570;0,960;0,880;0,640
304;5;33;38;52;74;0,750;0,710;0,700;0,750;0,960
305;15;31;35;59;73;0,780;0,640;0,800;0,760;0,720
306;12;28;36;60;74;0,680;0,650;0,840;0,530;0,510
307;17;25;45;54;76;0,640;0,770;0,610;0,870;0,580
308;3;24;50;60;76;0,650;0,940;0,540;0,920;0,880
309;4;26;46;58;78;0,620;0,670;0,570;0,630;0,750
310;4;33;36;55;80;0,520;0,850;0,580;0,700;0,600
311;3;27;50;58;73;0,690;0,870;0,590;0,950;0,680
312;6;24;48;58;73;0,780;0,700;0,600;0,690;0,830
313;12;21;39;52;67;0,750;0,890;0,630;0,710;0,650
314;9;31;43;64;79;0,730;0,560;0,590;0,700;0,970
315;10;33;40;55;67;0,980;0,800;0,640;0,560;0,610
316;16;27;36;65;67;0,570;0,670;0,540;0,740;0,760
317;6;31;47;55;73;0,530;0,590;0,840;0,880;0,590
318;7;28;37;52;77;0,710;0,760;0,890;0,960;0,790
319;13;24;39;54;69;0,650;0,530;0,680;0,980;0,700
320;16;24;41;51;77;0,740;0,780;0,840;0,590;0,900
321;11;32;37;58;75;0,820;0,900;0,960;0,940;0,630
322;17;30;46;54;71;0,520;0,700;0,920;0,530;0,770
323;15;30;37;56;69;0,630;0,600;0,850;0,780;0,610
324;2;33;37;65;80;0,570;0,920;0,670;0,520;0,670
325;7;31;47;54;70;0,870;0,710;0,850;0,720;0,830
326;1;27;47;56;70;0,720;0,700;0,820;0,700;0,890
327;4;33;38;56;71;0,560;0,610;0,790;0,700;0,520
328;9;24;35;56;79;0,570;0,750;0,730;0,900;0,970
329;10;24;48;58;68;0,860;0,880;0,680;0,850;0,890
330;11;27;42;56;74;0,810;0,880;0,760;0,920;0,850
331;10;27;38;60;69;0,890;0,910;0,940;0,890;0,890
332;8;26;41;52;78;0,840;0,530;0,700;0,510;0,810
333;1;33;43;62;69;0,640;0,660;0,800;0,890;0,960
334;12;33;37;53;77;0,620;0,520;0,940;0,890;0,580
335;13;21;41;56;77;0,730;0,560;0,560;0,710;0,510
336;20;22;39;54;80;0,890;0,890;0,750;0,570;0,750
337;7;23;41;57;68;0,810;0,540;0,900;0,660;0,870
338;16;24;50;61;76;0,790;0,670;0,920;0,650;0,710
339;2;25;48;57;73;0,950;0,510;0,940;0,670;0,720
340;14;33;48;59;69;0,890;0,960;0,860;0,910;0,810
341;8;33;50;57;75;0,710;0,920;0,790;0,710;0,760
342;11;33;49;63;72;0,960;0,780;0,570;0,670;0,640
343;17;27;40;62;77;0,540;0,510;0,840;0,790;0,680
344;8;26;45;58;70;0,860;0,910;0,660;0,570;0,730
345;3;31;43;58;70;0,690;0,710;0,620;0,920;0,660
346;15;22;45;56;77;0,660;0,810;0,620;0,610;0,880
347;1;28;48;54;70;0,930;0,880;0,650;0,600;0,750
348;2;24;43;52;72;0,640;0,910;0,740;0,610;0,890
349;11;28;48;62;79;0,580;0,970;0,740;0,910;0,950
350;11;21;34;64;71;0,900;0,620;0,510;0,760;0,540
351;11;28;42;54;79;0,770;0,870;0,800;0,870;0,800
352;4;21;50;51;67;0,540;0,790;0,930;0,590;0,640
353;2;29;45;59;67;0,580;0,570;0,540;0,950;0,670
354;2;21;43;55;72;0,730;0,570;0,740;0,580;0,640
355;6;31;47;65;78;0,780;0,770;0,740;0,830;0,570
356;7;26;34;65;77;0,970;0,740;0,920;0,540;0,930
357;5;33;47;65;72;0,600;0,550;0,510;0,770;0,930
358;20;28;44;65;75;0,900;0,780;0,910;0,570;0,700
359;10;21;50;63;76;0,910;0,740;0,750;0,590;0,570
360;6;27;34;58;80;0,660;0,680;0,670;0,820;0,800
361;2;30;46;53;67;0,770;0,540;0,510;0,610;0,640
362;5;30;50;51;77;0,940;0,770;0,900;0,540;0,650
363;17;32;47;66;78;0,650;0,660;0,730;0,720;0,520
364;10;30;41;65;76;0,610;0,550;0,980;0,620;0,790
365;18;30;41;60;73;0,810;0,620;0,840;0,850;0,950
366;15;23;34;55;68;0,560;0,910;0,920;0,750;0,810
367;17;26;35;59;78;0,520;0,790;0,760;0,540;0,920
368;14;28;37;64;73;0,910;0,830;0,790;0,640;0,870
369;11;30;50;59;78;0,860;0,750;0,690;0,560;0,610
370;16;33;46;65;76;0,530;0,980;0,610;0,620;0,730
371;5;22;39;53;68;0,930;0,790;0,970;0,810;0,910
372;17;29;44;66;69;0,560;0,720;0,720;0,880;0,590
373;16;21;39;52;72;0,740;0,670;0,940;0,520;0,560
374;19;30;37;56;74;0,620;0,810;0,590;0,730;0,950
375;14;32;38;64;79;0,700;0,920;0,620;0,950;0,550
376;7;29;43;62;71;0,800;0,730;0,820;0,580;0,700
377;12;24;46;54;75;0,700;0,820;0,540;0,700;0,680
378;11;24;34;61;75;0,810;0,700;0,750;0,710;0,510
379;17;21;34;65;72;0,820;0,890;0,870;0,970;0,680
380;5;25;44;53;80;0,600;0,910;0,960;0,760;0,630
381;15;22;43;51;71;0,650;0,700;0,790;0,650;0,790
382;3;33;42;56;78;0,590;0,550;0,520;0,970;0,540
383;19;28;40;61;77;0,940;0,670;0,550;0,910;0,680
384;13;21;50;56;74;0,560;0,710;0,610;0,810;0,580
385;6;32;50;65;72;0,830;0,840;0,750;0,970;0,720
386;9;26;50;59;67;0,870;0,750;0,830;0,740;0,770
387;8;26;49;59;71;0,700;0,770;0,850;0,790;0,950
388;16;24;43;64;67;0,610;0,520;0,770;0,720;0,810
389;9;31;45;65;79;0,900;0,930;0,840;0,510;0,570
390;12;31;36;66;79;0,620;0,520;0,860;0,730;0,630
391;10;27;40;54;69;0,760;0,970;0,930;0,750;0,900
392;18;24;37;53;74;0,940;0,960;0,960;0,580;0,880
393;15;33;48;57;67;0,700;0,650;0,620;0,800;0,560
394;1;31;34;54;71;0,790;0,860;0,780;0,750;0,930
395;10;25;48;66;68;0,580;0,970;0,910;0,780;0,920
396;19;22;34;59;69;0,600;0,730;0,960;0,850;0,560
397;11;27;42;59;69;0,960;0,540;0,860;0,720;0,670
398;16;24;37;61;67;0,560;0,950;0,670;0,830;0,830
399;8;31;46;56;74;0,980;0,600;0,980;0,840;0,750
400;6;25;44;55;79;0,710;0,560;0,800;0,820;0,670
401;19;30;43;53;69;0,680;0,590;0,860;0,690;0,660
402;11;31;40;59;73;0,850;0,680;0,600;0,820;0,550
403;13;29;41;60;71;0,590;0,570;0,580;0,650;0,810
404;1;28;37;58;76;0,850;0,850;0,550;0,730;0,920
405;3;25;36;62;79;0,790;0,660;0,900;0,880;0,580
406;4;24;36;54;75;0,970;0,720;0,530;0,630;0,750
407;15;24;42;51;67;0,580;0,830;0,580;0,610;0,680
408;10;22;35;63;67;0,740;0,770;0,570;0,690;0,890
409;1;23;43;65;79;0,900;0,780;0,660;0,710;0,830
410;17;33;46;60;67;0,530;0,910;0,850;0,850;0,770
411;1;30;47;65;72;0,680;0,520;0,580;0,720;0,760
412;8;26;45;64;76;0,820;0,830;0,630;0,620;0,590
413;13;26;43;62;69;0,570;0,740;0,910;0,550;0,600
414;11;33;35;52;74;0,590;0,730;0,610;0,890;0,690
415;13;27;43;62;70;0,890;0,660;0,800;0,690;0,690
416;14;25;38;63;79;0,700;0,660;0,890;0,890;0,940
417;2;31;46;64;78;0,740;0,590;0,580;0,690;0,760
418;14;23;49;64;79;0,820;0,710;0,920;0,740;0,750
419;9;32;46;66;74;0,740;0,560;0,960;0,750;0,980
420;13;24;49;51;79;0,550;0,940;0,730;0,580;0,920
421;13;28;48;53;76;0,660;0,930;0,880;0,660;0,880
422;13;23;37;56;71;0,660;0,650;0,820;0,840;0,780
423;7;33;47;65;72;0,740;0,740;0,940;0,910;0,810
424;19;23;49;58;70;0,710;0,920;0,660;0,620;0,910
425;7;23;41;57;73;0,770;0,590;0,980;0,970;0,560
426;7;26;42;52;70;0,960;0,950;0,840;0,900;0,720
427;7;29;36;54;70;0,520;0,760;0,890;0,870;0,940
428;1;24;34;63;74;0,890;0,750;0,770;0,630;0,950
429;18;26;50;66;78;0,860;0,740;0,810;0,750;0,510
430;4;22;40;53;78;0,980;0,630;0,750;0,700;0,720
431;11;24;42;52;71;0,930;0,790;0,540;0,660;0,680
432;16;29;37;53;75;0,780;0,710;0,830;0,680;0,880
